Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,Continent nationality,Date,Meet,Meet location
200 m backstroke,200,Female,25,02:18.40,138041,,Final,Ulrike Richter,Ulrike_Richter,East Germany,Europe,"Sunday, July 7, 1974",-,"Rostock, East Germany"
200 m individual medley,200,Female,21,02:19.00,138097,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Sunday, August 18, 1974",European Championships,"Vienna, Austria"
200 m breaststroke,200,Female,43,02:37.40,157044,,,Karla Linke,Karla_Linke,East Germany,Europe,"Monday, August 19, 1974",,"Vienna, Austria"
200 m breaststroke,200,Female,44,02:35.00,154099,,,Karla Linke,Karla_Linke,East Germany,Europe,"Monday, August 19, 1974",,"Vienna, Austria"
200 m freestyle,200,Female,27,02:03.20,123022,,,Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Thursday, August 22, 1974",European Swimming Championships,"Vienna, Austria"
200 m freestyle,200,Female,28,02:02.90,122094,,,Shirley Babashoff,Shirley_Babashoff,United States,America,"Friday, August 23, 1974",AAU Senior National Outdoor Championships,"Concord, California, United States"
200 m backstroke,200,Female,26,02:17.40,137035,,Final,Ulrike Richter,Ulrike_Richter,East Germany,Europe,"Sunday, August 25, 1974",-,"Vienna, Austria"
200 m freestyle,200,Female,28.1,02:02.90,122094,,,Shirley Babashoff,Shirley_Babashoff,United States,America,"Saturday, August 31, 1974",USAvGDR Dual Meet,"Concord, California, United States"
200 m freestyle,200,Female,29,02:02.30,122027,,,Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Saturday, March 15, 1975",GDRvURS Duel,"Dresden, Dresden, East Germany"
200 m backstroke,200,Female,27,02:16.30,136033,,Final,Nancy Garapick,Nancy_Garapick,Canada,America,"Sunday, April 27, 1975",-,"Brantford, Canada"
200 m backstroke,200,Female,28,02:16.10,136001,,Final,Birgit Treiber,Birgit_Treiber,East Germany,Europe,"Friday, June 6, 1975",-,"Wittenberg, East Germany"
200 m individual medley,200,Female,22,02:18.80,138083,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Tuesday, June 10, 1975",,"Wittenberg, West Germany"
200 m backstroke,200,Female,29,02:15.50,135046,,Final,Birgit Treiber,Birgit_Treiber,East Germany,Europe,"Sunday, July 27, 1975",World Championships,"Cali, Colombia"
200 m backstroke,200,Female,30,02:14.40,134041,,Final,Antje Stille,Antje_Stille,East Germany,Europe,"Sunday, February 29, 1976",-,"East Berlin, East Germany"
200 m individual medley,200,Female,23,02:18.30,138003,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Friday, March 12, 1976",,"Tallinn, Soviet Union"
200 m backstroke,200,Female,31,02:13.50,133005,,Final,Antje Stille,Antje_Stille,East Germany,Europe,"Saturday, March 13, 1976",-,"Tallinn, Soviet Union"
200 m butterfly,200,Female,24,02:13.60,133006,,,Rosemarie Gabriel,Rosemarie_Gabriel,East Germany,Europe,"Sunday, March 14, 1976",,"Tallinn, Soviet Union"
200 m freestyle,200,Female,30,01:59.80,119078,,,Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Wednesday, June 2, 1976",GDR Olympic Trials,"East Berlin, East Germany"
200 m backstroke,200,Female,32,02:12.50,132047,,Final,Birgit Treiber,Birgit_Treiber,East Germany,Europe,"Friday, June 4, 1976",-,"East Berlin, East Germany"
200 m butterfly,200,Female,25,02:12.80,132084,,,Rosemarie Gabriel,Rosemarie_Gabriel,East Germany,Europe,"Friday, June 4, 1976",,"East Berlin, East Germany"
200 m butterfly,200,Female,26,02:11.20,131022,,,Rosemarie Gabriel,Rosemarie_Gabriel,East Germany,Europe,"Saturday, June 5, 1976",,"East Berlin, East Germany"
200 m individual medley,200,Female,24,02:17.10,137014,,,Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Saturday, June 5, 1976",,"East Berlin, East Germany"
200 m breaststroke,200,Female,45,02:33.30,153035,,,Marina Koshevaia,Marina_Koshevaia,Soviet Union,Europe,"Wednesday, July 21, 1976",,"Montreal, Quebec"
200 m freestyle,200,Female,31,01:59.30,119026,,,Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Thursday, July 22, 1976",1976 Summer Olympics,"Montreal, Quebec, Canada"
200 m individual medley,200,Female,25,02:17.00,136096,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Sunday, July 10, 1977",,"Leipzig, East Germany"
200 m individual medley,200,Female,26,02:15.90,135095,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Saturday, August 20, 1977",European Championships,"Jönköping, Sweden"
200 m individual medley,200,Female,27,02:15.90,135085,,,Ulrike Tauber,Ulrike_Tauber,East Germany,Europe,"Sunday, August 28, 1977",,"East Berlin, East Germany"
200 m breaststroke,200,Female,46,02:33.30,153032,,,Yuliya Bogdanova,Yuliya_Bogdanova,Soviet Union,Europe,"Friday, April 7, 1978",,"Leningrad, USSR"
200 m butterfly,200,Female,27,02:11.20,131002,,,Andrea Pollack,Andrea_Pollack,East Germany,Europe,"Sunday, April 9, 1978",,"Leningrad, Soviet Union"
200 m freestyle,200,Female,32,01:59.00,119004,,,Barbara Krause,Barbara_Krause,East Germany,Europe,"Sunday, July 2, 1978",GDR Nationals & World Championship Trials,"East Berlin, East Germany"
200 m butterfly,200,Female,28,02:09.90,129087,,,Andrea Pollack,Andrea_Pollack,East Germany,Europe,"Tuesday, July 4, 1978",,"East Berlin, East Germany"
200 m individual medley,200,Female,28,02:15.10,135009,,,Tracy Caulkins,Tracy_Caulkins,United States,America,"Wednesday, August 2, 1978",,"The Woodlands, Texas"
200 m individual medley,200,Female,29,02:14.10,134007,,,Tracy Caulkins,Tracy_Caulkins,United States,America,"Sunday, August 20, 1978",World Championships,"West Berlin, West Germany"
200 m freestyle,200,Female,33,01:58.50,118053,,,Cynthia Woodhead,Cynthia_Woodhead,United States,America,"Tuesday, August 22, 1978",FINA World Championships,West Berlin
200 m breaststroke,200,Female,47,02:33.10,153011,,,Lina Kachushite,Lina_Kachushite,Soviet Union,Europe,"Thursday, August 24, 1978",,West Berlin
200 m breaststroke,200,Female,48,02:31.40,151042,,,Lina Kachushite,Lina_Kachushite,Soviet Union,Europe,"Thursday, August 24, 1978",,West Berlin
200 m backstroke,200,Female,33,02:11.90,131093,,Final,Linda Jezek,Linda_Jezek,United States,America,"Monday, August 28, 1978",World Championships,"West Berlin, West Germany"
200 m breaststroke,200,Female,49,02:31.10,151009,,,Svetlana Varganova,Svetlana_Varganova,Soviet Union,Europe,"Friday, March 30, 1979",,"Minsk, USSR"
200 m breaststroke,200,Female,50,02:28.40,148036,,,Lina Kachushite,Lina_Kachushite,Soviet Union,Europe,"Friday, April 6, 1979",,"Potsdam, East Germany"
200 m freestyle,200,Female,34,01:58.40,118043,,,Cynthia Woodhead,Cynthia_Woodhead,United States,America,"Tuesday, July 3, 1979",Pan-American Games,"San Juan, Puerto Rico"
200 m butterfly,200,Female,29,02:09.80,129077,,,Mary T. Meagher,Mary_T._Meagher,United States,America,"Saturday, July 7, 1979",,"San Juan, Puerto Rico"
200 m butterfly,200,Female,30,02:08.40,128041,,,Mary T. Meagher,Mary_T._Meagher,United States,America,"Thursday, August 16, 1979",,"Fort Lauderdale, United States"
200 m butterfly,200,Female,31,02:07.00,127001,,,Mary T. Meagher,Mary_T._Meagher,United States,America,"Thursday, August 16, 1979",,"Fort Lauderdale, United States"
200 m freestyle,200,Female,35,01:58.20,118023,,,Cynthia Woodhead,Cynthia_Woodhead,United States,America,"Monday, September 3, 1979",FINA World Cup,"Tokyo, Japan"
200 m individual medley,200,Female,30,02:13.70,133069,,,Tracy Caulkins,Tracy_Caulkins,United States,America,"Saturday, January 5, 1980",,"Austin, Texas"
200 m individual medley,200,Female,31,02:13.00,133000,,,Petra Schneider,Petra_Schneider,East Germany,Europe,"Saturday, May 24, 1980",,"East Berlin, East Germany"
200 m backstroke,200,Female,34,02:11.80,131077,,Final,Rica Reinisch,Rica_Reinisch,East Germany,Europe,"Sunday, July 27, 1980",Olympic Games,"Moscow, Soviet Union"
200 m butterfly,200,Female,32,02:06.40,126037,,,Mary T. Meagher,Mary_T._Meagher,United States,America,"Wednesday, July 30, 1980",,"Irvine, United States"
200 m individual medley,200,Female,32,02:11.70,131073,,,Ute Geweniger,Ute_Geweniger,East Germany,Europe,"Saturday, July 4, 1981",,"Magdeburg, East Germany"
200 m butterfly,200,Female,33,02:06.00,125096,,,Mary T. Meagher,Mary_T._Meagher,United States,America,"Thursday, August 13, 1981",,"Brown Deer, United States"
200 m backstroke,200,Female,35,02:09.90,129091,,Final,Cornelia Sirch,Cornelia_Sirch,East Germany,Europe,"Sunday, August 8, 1982",World Championships,"Guayaquil, Ecuador"
200 m freestyle,200,Female,36,01:57.80,117075,,,Kristin Otto,Kristin_Otto,East Germany,Europe,"Wednesday, May 23, 1984",GDR Nationals,"Magdeburg, Magdeburg, East Germany"
200 m breaststroke,200,Female,51,02:28.30,148033,,,Silke Hörner,Silke_Hörner,East Germany,Europe,"Wednesday, June 5, 1985",,"Leipzig, East Germany"
200 m breaststroke,200,Female,52,02:28.20,148002,,,Sylvia Gerasch,Sylvia_Gerasch,East Germany,Europe,"Saturday, March 1, 1986",,"Leningrad, USSR"
200 m freestyle,200,Female,37,01:57.50,117055,,,Heike Friedrich,Heike_Friedrich,East Germany,Europe,"Wednesday, June 18, 1986",GDR Nationals & World Championship Trials,"East Berlin, East Germany"
200 m backstroke,200,Female,36,02:08.60,128006,,Final,Betsy Mitchell,Betsy_Mitchell,United States,America,"Friday, June 27, 1986",U.S. Swimming World Championship Trials,"Orlando, United States"
200 m breaststroke,200,Female,53,02:27.40,147004,,,Silke Hörner,Silke_Hörner,East Germany,Europe,"Monday, August 18, 1986",,"Madrid, Spain"
200 m breaststroke,200,Female,54,02:27.30,147027,,,Allison Higson,Allison_Higson,Canada,America,"Saturday, May 28, 1988",,"Montreal, Quebec"
200 m breaststroke,200,Female,55,02:26.70,146071,,,Silke Hörner,Silke_Hörner,East Germany,Europe,"Wednesday, September 21, 1988",,"Seoul, South Korea"
200 m backstroke,200,Female,37,02:06.60,126062,,Final,Krisztina Egerszegi,Krisztina_Egerszegi,Hungary,Europe,"Sunday, August 25, 1991",European Championships,"Athens, Greece"
200 m breaststroke,200,Female,56,02:25.90,145092,,,Anita Nall,Anita_Nall,United States,America,"Monday, March 2, 1992",,"Indianapolis, Indiana"
200 m breaststroke,200,Female,57,02:25.30,145035,,,Anita Nall,Anita_Nall,United States,America,"Monday, March 2, 1992",,"Indianapolis, Indiana"
200 m individual medley,200,Female,33,02:11.70,131065,,,Lin Li,Lin_Li,China,Asia,"Thursday, July 30, 1992",Olympic Games,"Barcelona, Spain"
200 m breaststroke,200,Female,58,02:24.80,144076,,,Rebecca Brown,Rebecca_Brown,Australia,Oceania,"Tuesday, March 15, 1994",,"Brisbane, Australia"
200 m freestyle,200,Female,38,01:56.80,116078,,,Franziska van Almsick,Franziska_van_Almsick,Germany,Europe,"Tuesday, September 6, 1994",1994 World Championships,"Rome, Lazio, Italy"
200 m individual medley,200,Female,34,02:09.70,129072,,,Wu Yanyan,Wu_Yanyan,China,Asia,"Friday, October 17, 1997",China's National Games,"Shanghai, China"
200 m breaststroke,200,Female,59,02:24.70,144069,,,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Saturday, July 17, 1999",,"Los Angeles, California"
200 m breaststroke,200,Female,60,02:24.50,144051,,,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Saturday, July 17, 1999",,"Los Angeles, California"
200 m breaststroke,200,Female,61,02:24.40,144042,,,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Thursday, August 26, 1999",,"Sydney, Australia"
200 m breaststroke,200,Female,62,02:23.60,143064,,,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Friday, August 27, 1999",,"Sydney, Australia"
200 m butterfly,200,Female,34,02:05.80,125081,,,Susie O'Neill,Susie_O'Neill,Australia,Oceania,"Wednesday, May 17, 2000",,"Sydney, Australia"
200 m breaststroke,200,Female,63,02:23.00,142099,,,Qi Hui,Qi_Hui,China,Asia,"Friday, April 13, 2001",,"Hangzhou, China"
200 m freestyle,200,Female,39,01:56.60,116064,,,Franziska van Almsick,Franziska_van_Almsick,Germany,Europe,"Saturday, August 3, 2002",2002 European Championships,"Berlin, Germany"
200 m butterfly,200,Female,35,02:05.80,125078,,,Otylia Jędrzejczak,Otylia_Jędrzejczak,Poland,Europe,"Sunday, August 4, 2002",,"Berlin, Germany"
200 m breaststroke,200,Female,64,02:23.00,142099,,,Amanda Beard,Amanda_Beard,United States,America,"Friday, July 25, 2003",,"Barcelona, Spain"
200 m breaststroke,200,Female,65,02:23.00,142096,,,Leisel Jones,Leisel_Jones,Australia,Oceania,"Saturday, July 10, 2004",,"Brisbane, Australia"
200 m breaststroke,200,Female,66,02:22.40,142044,,,Amanda Beard,Amanda_Beard,United States,America,"Monday, July 12, 2004",,"Long Beach, California"
200 m butterfly,200,Female,36,02:05.60,125061,,,Otylia Jędrzejczak,Otylia_Jędrzejczak,Poland,Europe,"Thursday, July 28, 2005",,"Montreal, Canada"
200 m breaststroke,200,Female,67,02:21.70,141072,,,Leisel Jones,Leisel_Jones,Australia,Oceania,"Friday, July 29, 2005",,"Montreal, Quebec"
200 m breaststroke,200,Female,68,02:20.50,140054,,,Leisel Jones,Leisel_Jones,Australia,Oceania,"Wednesday, February 1, 2006",,"Melbourne, Australia"
200 m butterfly,200,Female,37,02:05.40,125004,,,Jessicah Schipper,Jessicah_Schipper,Australia,Oceania,"Thursday, August 17, 2006",,"Victoria, Canada"
200 m freestyle,200,Female,40,01:56.50,116047,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Tuesday, March 27, 2007",2007 World Championships,"Melbourne, Australia"
200 m freestyle,200,Female,41,01:55.50,115052,,,Laure Manaudou,Laure_Manaudou,France,Europe,"Wednesday, March 28, 2007",2007 World Championships,"Melbourne, Australia"
200 m backstroke,200,Female,38,02:06.40,126039,,Final,Kirsty Coventry,Kirsty_Coventry,Zimbabwe,Africa,"Saturday, February 16, 2008",USA Grand Prix meet,"Columbia, United States"
200 m individual medley,200,Female,35,02:08.90,128092,,,Stephanie Rice,Stephanie_Rice,Australia,Oceania,"Tuesday, March 25, 2008",Australian Championships & Olympic Trials,"Sydney, New South Wales"
200 m backstroke,200,Female,39,02:06.10,126009,,Final,Margaret Hoelzer,Margaret_Hoelzer,United States,America,"Saturday, July 5, 2008",USA Olympic Trials,"Omaha, United States"
200 m freestyle,200,Female,42,01:55.50,115045,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Monday, August 11, 2008",2008 Summer Olympics,"Beijing, China"
200 m freestyle,200,Female,43,01:54.80,114082,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Wednesday, August 13, 2008",2008 Summer Olympics,"Beijing, China"
200 m individual medley,200,Female,36,02:08.40,128045,,,Stephanie Rice,Stephanie_Rice,Australia,Oceania,"Wednesday, August 13, 2008",Olympic Games,"Beijing, China"
200 m butterfly,200,Female,38,02:04.20,124018,,,Liu Zige,Liu_Zige,China,Asia,"Thursday, August 14, 2008",,"Beijing, China"
200 m breaststroke,200,Female,69,02:20.20,140022,,,Rebecca Soni,Rebecca_Soni,United States,America,"Friday, August 15, 2008",,"Beijing, China"
200 m backstroke,200,Female,40,02:05.20,125024,,Final,Kirsty Coventry,Kirsty_Coventry,Zimbabwe,Africa,"Saturday, August 16, 2008",Olympic Games,"Beijing, China"
200 m freestyle,200,Female,44,01:54.50,114047,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Sunday, March 8, 2009",Italian Championships,"Riccione, Italy"
200 m individual medley,200,Female,37,02:07.00,127003,,,Ariana Kukors,Ariana_Kukors,United States,America,"Sunday, July 26, 2009",World Championships,"Rome, Italy"
200 m individual medley,200,Female,38,02:06.20,126015,,,Ariana Kukors,Ariana_Kukors,United States,America,"Monday, July 27, 2009",World Championships,"Rome, Italy"
200 m freestyle,200,Female,45,01:53.70,113067,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Tuesday, July 28, 2009",2009 World Championships,"Roma, Italy"
200 m butterfly,200,Female,39,02:04.10,124014,,,Mary Descenza,Mary_Descenza,United States,America,"Wednesday, July 29, 2009",,"Rome, Italy"
200 m freestyle,200,Female,46,01:53.00,112098,,,Federica Pellegrini,Federica_Pellegrini,Italy,Europe,"Wednesday, July 29, 2009",2009 World Championships,"Roma, Italy"
200 m breaststroke,200,Female,70,02:20.10,140012,,,Annamay Pierse,Annamay_Pierse,Canada,America,"Thursday, July 30, 2009",,"Rome, Italy"
200 m butterfly,200,Female,40,02:03.40,123041,,,Jessicah Schipper,Jessicah_Schipper,Australia,Oceania,"Thursday, July 30, 2009",,"Rome, Italy"
200 m backstroke,200,Female,41,02:04.80,124081,,Final,Kirsty Coventry,Kirsty_Coventry,Zimbabwe,Africa,"Saturday, August 1, 2009",World Championships,"Rome, Italy"
200 m butterfly,200,Female,41,02:01.80,121081,,,Liu Zige,Liu_Zige,China,Asia,"Wednesday, October 21, 2009",,"Jinan, China"
200 m breaststroke,200,Female,71,02:20.00,140000,,,Rebecca Soni,Rebecca_Soni,United States,America,"Wednesday, August 1, 2012",,"London, United Kingdom"
200 m breaststroke,200,Female,72,02:19.60,139059,,,Rebecca Soni,Rebecca_Soni,United States,America,"Thursday, August 2, 2012",,"London, United Kingdom"
200 m backstroke,200,Female,42,02:04.10,124006,,Final,Missy Franklin,Missy_Franklin,United States,America,"Friday, August 3, 2012",2012 Summer Olympics,"London, United Kingdom"
200 m breaststroke,200,Female,73,02:19.10,139011,,,Rikke Møller Pedersen,Rikke_Møller_Pedersen,Denmark,Europe,"Thursday, August 1, 2013",,"Barcelona, Spain"
200 m individual medley,200,Female,39,02:06.10,126012,,,Katinka Hosszú,Katinka_Hosszú,Hungary,Europe,"Monday, August 3, 2015",World Championships,"Kazan, Russia"
200 m freestyle,200,Male,0,02:28.60,148006,,Final,Freddy Lane,Freddy_Lane,Australia,Oceania,"Monday, August 18, 1902",-,"Weston-super-Mare, United Kingdom"
200 m freestyle,200,Male,0,02:26.80,146008,,Final,Zoltán Halmay,Zoltán_Halmay,Hungary,Europe,"Sunday, June 28, 1908",-,"Budapest, Hungary"
200 m freestyle,200,Male,1,02:31.60,151006,,Final,Otto Scheff,Otto_Scheff,Austria,Europe,"Wednesday, November 11, 1908",-,"Vienna, Austria"
200 m breaststroke,200,Male,2,03:08.30,188003,,Final,Robert Andersson,Robert_Andersson,Sweden,Europe,"Sunday, April 18, 1909",,"Stockholm, Sweden"
200 m backstroke,200,Male,1,03:04.40,184004,,Final,Oscar Schiele,Oscar_Schiele,Germany,Europe,"Sunday, June 27, 1909",,"Berlin, Germany[1]"
200 m backstroke,200,Male,2,02:59.80,179008,,Final,George Arnold,George_Arnold,Germany,Europe,"Monday, January 3, 1910",,"Magdeburg, Germany"
200 m freestyle,200,Male,2,02:30.00,150000,,Final,Frank Beaurepaire,Frank_Beaurepaire,Australia,Oceania,"Friday, September 9, 1910",-,"Exeter, United Kingdom"
200 m breaststroke,200,Male,3,03:00.80,180008,,Final,Félicien Courbet,Félicien_Courbet,Belgium,Europe,"Sunday, October 2, 1910",,"Schaarbeek, Belgium"
200 m backstroke,200,Male,3,02:56.40,176004,,Final,Maurice Wechesser,Maurice_Wechesser,Belgium,Europe,"Tuesday, October 18, 1910",,"Schaerbeek, Belgium"
200 m backstroke,200,Male,4,02:50.60,170006,,Final,Hermann Pentz,Hermann_Pentz,Germany,Europe,"Saturday, March 11, 1911",,"Magdeburg, Germany"
200 m freestyle,200,Male,3,02:25.40,145004,,Final,Charles Daniels,Charles_Daniels,United States,America,"Tuesday, March 28, 1911",-,"Pittsburgh, United States"
200 m backstroke,200,Male,5,02:48.40,168004,,Final,Otto Fahr,Otto_Fahr,Germany,Europe,"Wednesday, April 3, 1912",,"Magdeburg, Germany"
200 m breaststroke,200,Male,4,02:56.60,176006,,Final,Percy Courtman,Percy_Courtman,United Kingdom,Europe,"Tuesday, July 28, 1914",,"Garston, United Kingdom"
200 m freestyle,200,Male,4,02:21.60,141006,,Final,Norman Ross,Norman_Ross,United States,America,"Friday, November 24, 1916",-,"San Francisco, United States"
200 m freestyle,200,Male,5,02:19.80,139008,,Final,Tedford Cann,Tedford_Cann,United States,America,"Saturday, April 10, 1920",-,"Detroit, United States"
200 m freestyle,200,Male,6,02:15.60,135006,,Final,Johnny Weissmuller,Johnny_Weissmuller,United States,America,"Friday, May 26, 1922",-,"Honolulu, United States"
200 m breaststroke,200,Male,5,02:54.40,174004,,Final,Erich Rademacher,Erich_Rademacher,Germany,Europe,"Sunday, November 12, 1922",,"Amsterdam, Netherlands"
200 m breaststroke,200,Male,6,02:52.60,172006,,Final,Bob Skelton,Bob_Skelton,United States,America,"Friday, March 21, 1924",,"Milwaukee, United States"
200 m breaststroke,200,Male,7,02:50.40,170004,,Final,Erich Rademacher,Erich_Rademacher,Germany,Europe,"Monday, April 7, 1924",,"Magdeburg, Germany"
200 m freestyle,200,Male,7,02:15.20,135002,,Final,Johnny Weissmuller,Johnny_Weissmuller,United States,America,"Wednesday, December 9, 1925",-,"McKeesport, United States"
200 m backstroke,200,Male,6,02:47.10,167001,,Final,Walter Laufer,Walter_Laufer,United States,America,"Thursday, June 24, 1926",,"Bremen, Germany[2]"
200 m backstroke,200,Male,7,02:44.90,164009,,Final,Walter Laufer,Walter_Laufer,United States,America,"Sunday, July 11, 1926",,"Nuremberg, Germany"
200 m backstroke,200,Male,8,02:38.80,158008,,Final,Walter Laufer,Walter_Laufer,United States,America,"Tuesday, July 13, 1926",,"Magdeburg, Germany[3][4]"
200 m breaststroke,200,Male,8,02:48.00,168000,,Final,Erich Rademacher,Erich_Rademacher,Germany,Europe,"Friday, March 11, 1927",,"Brussels, Belgium"
200 m freestyle,200,Male,8,02:08.00,128000,,Final,Johnny Weissmuller,Johnny_Weissmuller,United States,America,"Tuesday, April 5, 1927",-,"Ann Arbor, United States"
200 m backstroke,200,Male,9,02:37.80,157008,,Final,Toshio Irie,Toshio_Irie,Japan,Asia,"Sunday, October 14, 1928",,"Tamagawa, Japan[5]"
200 m breaststroke,200,Male,9,02:45.00,165000,,Final,Yoshiyuki Tsuruta,Yoshiyuki_Tsuruta,Japan,Asia,"Saturday, July 27, 1929",,"Kyoto, Japan"
200 m backstroke,200,Male,10,02:32.20,152002,,Final,George Kojac,George_Kojac,United States,America,"Monday, June 16, 1930",,"New Haven, United States"
200 m breaststroke,200,Male,10,02:44.60,164006,,Final,Lionel Spence,Lionel_Spence,United States,America,"Thursday, April 2, 1931",,"Chicago, United States"
200 m breaststroke,200,Male,11,02:44.00,164000,,Final,Lionel Spence,Lionel_Spence,United States,America,"Friday, April 1, 1932",,"New Haven, United States"
200 m breaststroke,200,Male,12,02:42.60,162006,,Final,Jacques Cartonnet,Jacques_Cartonnet,France,Europe,"Wednesday, February 8, 1933",,"Paris, France"
200 m backstroke,200,Male,11,02:27.80,147008,,Final,Al Vande Weghe,Al_Vande_Weghe,United States,America,"Thursday, August 30, 1934",,"Honolulu, Hawaii"
200 m breaststroke,200,Male,13,02:42.40,162004,,Final,Erwin Sietas,Erwin_Sietas,Germany,Europe,"Saturday, March 16, 1935",,"Düsseldorf, Germany"
200 m backstroke,200,Male,12,02:24.00,144000,,Final,Adolph Kiefer,Adolph_Kiefer,United States,America,"Thursday, April 11, 1935",,"Chicago, United States"
200 m freestyle,200,Male,9,02:07.20,127002,,Final,Jack Medica,Jack_Medica,United States,America,"Friday, April 12, 1935",-,"Chicago, United States"
200 m breaststroke,200,Male,14,02:39.60,159006,,Final,Jacques Cartonnet,Jacques_Cartonnet,France,Europe,"Saturday, May 4, 1935",,"Paris, France"
200 m breaststroke,200,Male,15,02:37.20,157002,,Final,Jack Kasley,Jack_Kasley,United States,America,"Saturday, March 28, 1936",,"New Haven, United States"
200 m backstroke,200,Male,13,02:23.00,143000,,Final,Adolph Kiefer,Adolph_Kiefer,United States,America,"Friday, May 23, 1941",,"Honolulu, Hawaii"
200 m breaststroke,200,Male,16,02:36.80,156008,,Final,Alfred Nakache,Alfred_Nakache,France,Europe,"Sunday, July 6, 1941",,"Marseille, France"
200 m backstroke,200,Male,14,02:22.90,142009,,Final,Harry Holiday,Harry_Holiday,United States,America,"Tuesday, May 18, 1943",,"Detroit, United States"
200 m freestyle,200,Male,10,02:06.20,126002,,Final,Bill Smith,Bill_Smith,United States,America,"Saturday, February 12, 1944",-,"Columbus, United States"
200 m backstroke,200,Male,15,02:19.30,139003,,Final,Adolph Kiefer,Adolph_Kiefer,United States,America,"Saturday, March 4, 1944",,"Annapolis, United States"
200 m breaststroke,200,Male,17,02:35.60,155006,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Friday, April 5, 1946",,"Bainbridge, United States"
200 m freestyle,200,Male,11,02:05.40,125004,,Final,Alex Jany,Alex_Jany,France,Europe,"Friday, September 20, 1946",-,"Marseille, France"
200 m breaststroke,200,Male,18,02:35.00,155000,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Saturday, February 15, 1947",,"New Haven, United States"
200 m breaststroke,200,Male,19,02:32.00,152000,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Saturday, February 14, 1948",,"New Haven, United States"
200 m breaststroke,200,Male,20,02:30.50,150005,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Friday, April 2, 1948",,"New Haven, United States"
200 m breaststroke,200,Male,21,02:30.00,150000,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Monday, June 28, 1948",,"New Haven, United States"
200 m backstroke,200,Male,17.1,02:18.50,138005,,Final,Allen Stack,Allen_Stack,United States,America,"Wednesday, May 4, 1949",-,"New Haven, United States"
200 m backstroke,200,Male,17,02:18.80,138008,,Final,John Monckton,John_Monckton,Australia,Oceania,"Wednesday, May 4, 1949",-,"Sydney, Australia"
200 m breaststroke,200,Male,22,02:28.30,148003,,Final,Joe Verdeur,Joe_Verdeur,United States,America,"Friday, March 31, 1950",,"New Haven, United States"
200 m freestyle,200,Male,12,02:04.60,124006,,Final,John Marshall,John_Marshall,Australia,Oceania,"Friday, March 31, 1950",Yale (?),"New Haven, United States"
200 m breaststroke,200,Male,23,02:27.30,147003,,Final,Herbert Klein,Herbert_Klein,Germany,Europe,"Saturday, June 9, 1951",,"Munich, West Germany"
200 m breaststroke,200,Male,24,02:37.40,157004,,Final,Knud Gleie,Knud_Gleie,Denmark,Europe,"Friday, March 14, 1952",,"Copenhagen, Denmark"
200 m backstroke,200,Male,16,02:18.50,138005,,Final,Allen Stack,Allen_Stack,United States,America,"Friday, June 26, 1953",,"New Haven, United States"
200 m backstroke,200,Male,17,02:18.40,138004,,Final,John Monckton,John_Monckton,Australia,Oceania,"Friday, June 26, 1953",-,"Melbourne, Australia"
200 m freestyle,200,Male,13,02:03.90,123009,,Final,Ford Konno,Ford_Konno,United States,America,"Saturday, February 27, 1954",-,"Columbus, United States"
200 m breaststroke,200,Male,25,02:36.60,156006,,Final,Masaru Furukawa,Masaru_Furukawa,Japan,Asia,"Saturday, April 10, 1954",,"Tokyo, Japan"
200 m breaststroke,200,Male,26,02:35.40,155004,,Final,Masaru Furukawa,Masaru_Furukawa,Japan,Asia,"Saturday, April 10, 1954",,"Tokyo, Japan"
200 m breaststroke,200,Male,27,02:35.20,155002,,Final,Mamoru Tanaka,Mamoru_Tanaka,Japan,Asia,"Friday, September 17, 1954",,"Tokyo, Japan"
200 m freestyle,200,Male,14,02:03.40,123004,,Final,Jack Wardrop,Jack_Wardrop,United Kingdom,Europe,"Friday, March 4, 1955",-,"Columbus, United States"
